category,rule,severity,example
Naming,Class names must use PascalCase (e.g. TestSuite).,Medium,"public class LoginTests {"
Naming,Method names must use camelCase and be descriptive.,Medium,"public void shouldReturnErrorMessageOnInvalidLogin() {"
Naming,Constants must be static final and SCREAMING_SNAKE_CASE.,Low,"private static final int TIMEOUT_SECONDS = 10;"
Annotations,Use @BeforeMethod for setup instead of repeating code in tests.,High,"@BeforeMethod\npublic void setUp() { ... }"
Annotations,Test methods must always be annotated with @Test.,High,"@Test(groups = \"smoke\")"
Assertions,Use specific Assert methods (assertEquals) over generic assertTrue.,Medium,"Assert.assertEquals(actual, expected, \"Message\");"
Assertions,Always include a descriptive failure message in assertions.,Low,"Assert.assertNotNull(user, \"User object should be initialized\");"
Test Design,Tests must be independent and not rely on execution order.,High,"// Avoid using 'dependsOnMethods'"
Test Design,One test method should focus on one specific scenario (Atomic tests).,Medium,"@Test\npublic void testInvalidPassword() { ... }"
Data Management,Use @DataProvider for parameterized testing of multiple inputs.,Medium,"@DataProvider(name = \"loginData\")"
Project Structure,Tests must be located in src/test/java (not src/main/java).,High,"src/test/java/com/project/tests/"
Error Handling,Tests should fail via Assertions rather than throwing raw Exceptions.,High,"try { ... } catch (IOException e) { Assert.fail(\"File not found\"); }"
Logic,Avoid Thread.sleep(); use explicit or fluent waits.,High,"wait.until(ExpectedConditions.visibilityOf(element));"
Documentation,Test classes should have a Javadoc summary of the test suite.,Low,"/**\n * Tests for User Authentication flows.\n */"
Formatting,Use 4 spaces for indentation (standard Java convention).,Low,"    public void myMethod() {"
