category,title,content,team,priority
global,Automation Framework Standard,"All automation frameworks must support reusable architecture, logging, exception handling, modular design, retry mechanism, maintainable structure, reusable utilities, reporting integration, environment configuration management, and separation of test logic from utility logic. Frameworks must avoid duplicated code and hardcoded test data.",ALL,HIGH
global,Test Case Writing Standard,"Every test case must contain testcase id, title, business objective, preconditions, test steps, expected results, validation points, negative scenarios, priority, test data, dependency information, cleanup steps, and execution type. Test cases must be readable and traceable to Jira requirements.",ALL,HIGH
global,Coding Standard,"Code must follow clean naming conventions, reusable design, modular implementation, proper logging, exception handling, and avoid duplicated logic. Methods should remain small and maintain single responsibility. Hardcoded credentials, URLs, and test data are prohibited.",ALL,HIGH
selenium,Wait Strategy,"Selenium automation must always use explicit waits using WebDriverWait. Avoid time.sleep() and unnecessary implicit waits. Synchronization should be implemented using visibility, clickability, presence, or invisibility conditions depending on UI behavior.",Team_M,HIGH
selenium,Locator Strategy,"Locator priority should follow ID, NAME, CSS Selector, then XPath. Dynamic XPath should be avoided unless no alternative exists. Centralize locators using Page Object Model. Avoid absolute XPath and unstable DOM references.",Team_M,HIGH
selenium,Framework Design,"Selenium framework must follow Page Object Model architecture with separation between pages, tests, utilities, configuration, reports, and test data. Framework should support reusable wrappers, retry logic, screenshots on failure, and parallel execution.",Team_M,HIGH
selenium,Test Stability Rules,"Automation scripts must avoid flaky behavior by using synchronization, stable locators, retry logic, and proper cleanup. Shared state between tests should be avoided. Tests must support isolated execution.",Team_M,HIGH
selenium,Assertion Standard,"All Selenium tests must contain validations and assertions for business outcomes. Assertions must validate UI state, messages, API responses, database updates, or workflow completion. Scripts without assertions are invalid.",Team_M,HIGH
uft,UFT Standard,"UFT automation must use reusable actions, shared object repositories, reusable VBScript libraries, recovery scenarios, synchronization points, and descriptive programming standards where applicable. Framework should minimize duplicated logic.",Team_R,MEDIUM
uft,Object Repository Policy,"Shared object repositories must follow consistent naming conventions, avoid duplicate objects, support maintainability, and organize objects logically based on modules and workflows.",Team_R,MEDIUM
uft,Recovery Scenario Standard,"Recovery scenarios must handle unexpected popups, browser crashes, session timeouts, and synchronization failures. Recovery logic should avoid stopping entire execution suites whenever possible.",Team_R,MEDIUM
pr_review,PR Validation,"Pull requests must follow coding standards, naming conventions, modular design, reusable architecture, logging standards, exception handling, and framework guidelines. PRs must avoid hardcoded waits, duplicated logic, unstable locators, and unnecessary complexity.",ALL,HIGH
pr_review,Security Validation,"PRs must not contain hardcoded passwords, tokens, API keys, production URLs, customer information, or sensitive business data. Security-sensitive values must use environment variables or secured configuration files.",ALL,HIGH
pr_review,Code Quality Review,"PR review must validate maintainability, readability, modularity, reusable methods, assertion quality, synchronization strategy, reporting implementation, logging coverage, and test stability. Large methods and duplicated logic should be flagged.",ALL,HIGH
requirement,Story Validation,"Every Jira user story must contain business objective, functional requirement, acceptance criteria, validation conditions, dependency details, impacted modules, negative scenarios, and API/UI impact details. Missing details should be flagged during analysis.",ALL,HIGH
requirement,Requirement Gap Analysis,"AI validation must identify incomplete acceptance criteria, unclear business flows, missing validations, missing negative scenarios, missing dependency information, and inconsistent workflow descriptions. Suggested improvements should be generated automatically.",ALL,HIGH
requirement,Acceptance Criteria Rules,"Acceptance criteria must be testable, measurable, unambiguous, and aligned with business outcomes. Each criterion should support positive and negative validation scenarios.",ALL,HIGH
api_testing,API Validation,"API automation must validate status codes, response schema, response payload, headers, authorization, response time, negative scenarios, invalid payload handling, retry behavior, and error messages.",ALL,MEDIUM
api_testing,API Security Rules,"API testing must validate authentication, authorization, token expiry, invalid access handling, role-based access, data masking, and secure transport validation where applicable.",ALL,MEDIUM
api_testing,Response Validation Standard,"Response validation must compare expected schema, field types, mandatory fields, null handling, error codes, and business response values. Unexpected fields or missing fields should be flagged.",ALL,MEDIUM
testing_policy,Regression Suite Standard,"Regression suites must prioritize business-critical workflows, reusable validations, stable automation coverage, and execution reliability. Failed scripts should include detailed logging and screenshots.",ALL,HIGH
testing_policy,Smoke Suite Standard,"Smoke suites must validate application availability, login functionality, major business workflows, API availability, environment stability, and critical navigation paths before full execution.",ALL,HIGH
domain_rules,Banking Validation Rules,"Banking validations must include mandatory KYC checks, transaction validation, authorization validation, account state validation, balance validation, session timeout handling, and audit logging verification.",ALL,HIGH
domain_rules,Payment Workflow Validation,"Payment workflows must validate successful transaction flow, insufficient balance handling, duplicate transaction prevention, retry handling, timeout scenarios, authorization failures, and reconciliation status validation.",ALL,HIGH
mcp,MCP Integration Standard,"MCP is responsible for live access to Jira, Confluence, Git repositories, filesystem access, PR data, assigned ticket dashboards, and historical automation lookup. MCP should not permanently store transient execution data inside ChromaDB.",ALL,HIGH
rag,RAG Knowledge Policy,"ChromaDB stores reusable organizational knowledge including SOPs, coding policies, testing standards, framework rules, PR review standards, domain validations, reusable automation patterns, and historical approved examples.",ALL,HIGH
historical_examples,Approved Automation Pattern,"Approved automation scripts should demonstrate reusable design, explicit waits, assertion coverage, modular architecture, proper reporting, stable locators, logging integration, and maintainable structure.",ALL,MEDIUM
anti_patterns,Automation Anti Pattern,"Avoid hardcoded waits, duplicated locators, duplicated business logic, shared test dependencies, unstable XPath usage, large monolithic scripts, missing assertions, and direct production environment modifications.",ALL,HIGH
